
timestamp,d,y,p,r,a_x,a_y,a_z
15:19:04.543,65,-76.08,27.55,-6.04,-480,164,-4141
15:19:04.651,66,-76.07,27.47,-6.00,-447,193,-4042
15:19:04.752,63,-76.08,27.40,-5.99,-443,263,-3961
15:19:04.824,65,-76.12,27.33,-6.01,-508,385,-3977
15:19:04.930,66,-76.14,27.25,-6.00,-552,452,-4045
15:19:05.072,64,-80.90,26.93,-6.23,-422,508,-4072
15:19:05.180,69,-81.22,26.97,-6.29,-421,612,-3983
15:19:05.254,73,-81.54,27.00,-6.39,-438,705,-3962
15:19:05.361,68,-81.85,27.04,-6.48,-423,753,-3925
15:19:05.506,68,-84.60,28.50,-10.09,-916,964,-4154
15:19:05.609,75,-84.49,28.53,-10.16,-896,1003,-4023
15:19:05.676,72,-84.41,28.48,-10.28,-919,996,-4029
15:19:05.775,69,-84.32,28.41,-10.40,-960,935,-4145
15:19:05.876,69,-84.20,28.37,-10.48,-1002,894,-4287
15:19:06.018,75,-75.90,28.08,-10.78,-1011,625,-4223
15:19:06.120,71,-75.46,28.08,-10.71,-991,600,-4241
15:19:06.196,70,-75.02,28.08,-10.63,-975,599,-4289
15:19:06.301,67,-74.58,28.09,-10.54,-958,564,-4325
15:19:06.402,61,-74.15,28.11,-10.43,-936,552,-4322
15:19:06.542,57,-66.60,26.03,-7.14,-549,221,-4021
15:19:06.612,58,-66.65,26.00,-7.09,-593,221,-3994
15:19:06.721,62,-66.71,25.97,-7.02,-632,217,-4007
15:19:06.826,64,-66.79,25.93,-6.93,-656,249,-3980
15:19:06.901,66,-66.89,25.88,-6.86,-687,285,-4003
15:19:07.043,68,-74.57,26.82,-7.92,-704,812,-4090
15:19:07.148,67,-74.81,26.96,-8.06,-717,854,-4040
15:19:07.255,67,-75.05,27.05,-8.23,-747,911,-4056
15:19:07.326,71,-75.27,27.11,-8.42,-786,928,-4144
15:19:07.431,71,-75.45,27.19,-8.58,-808,896,-4259
15:19:07.576,72,-75.30,28.77,-13.15,-1035,625,-4201
15:19:07.680,74,-75.10,28.74,-13.28,-1020,597,-4273
15:19:07.755,73,-74.88,28.70,-13.40,-996,542,-4335
15:19:07.860,73,-74.65,28.71,-13.48,-985,504,-4390
15:19:08.001,71,-64.79,29.19,-12.15,-789,280,-4160
15:19:08.070,76,-64.45,29.17,-12.04,-802,309,-4159
15:19:08.175,69,-64.11,29.13,-11.91,-814,344,-4183
15:19:08.284,70,-63.78,29.07,-11.77,-841,382,-4211
15:19:08.355,67,-63.44,29.04,-11.62,-826,361,-4173
15:19:08.503,67,-59.73,26.99,-9.30,-868,333,-4075
15:19:08.614,65,-59.87,26.82,-9.33,-850,331,-4036
15:19:08.687,65,-60.02,26.69,-9.37,-890,306,-4118
15:19:08.791,70,-60.17,26.60,-9.38,-875,311,-4198
15:19:08.895,70,-60.32,26.57,-9.38,-882,339,-4297
15:19:09.071,69,-67.55,29.02,-11.40,-1054,766,-4209
15:19:09.180,71,-67.66,29.11,-11.52,-1064,777,-4269
15:19:09.255,73,-67.73,29.19,-11.63,-1077,784,-4356
15:19:09.365,71,-67.77,29.28,-11.68,-1092,806,-4387
15:19:09.467,73,-67.77,29.36,-11.74,-1073,797,-4342
15:19:09.611,70,-62.18,29.69,-10.89,-1440,288,-4069
15:19:09.680,69,-61.86,29.68,-10.82,-1459,277,-4069
15:19:09.790,70,-61.53,29.68,-10.74,-1467,236,-4125
15:19:09.861,69,-61.20,29.68,-10.63,-1485,204,-4196
15:19:10.038,70,-51.56,29.28,-7.09,-932,-98,-4133
