timestamp,d,y,p,r,a_x,a_y,a_z,a_x_calibration,a_y_calibration,a_z_calibration
15:27:20.879,120,2.29,4.58,2.58,37,-17,-2385,-577.4945652173913,-94.29891304347827,1779.535326086957
15:27:20.982,121,2.28,4.77,2.55,93,-36,-2956,-521.4945652173913,-113.29891304347827,1208.535326086957
15:27:21.051,123,2.29,4.95,2.48,102,-39,-3328,-512.4945652173913,-116.29891304347827,836.535326086957
15:27:21.156,123,2.3,5.09,2.39,78,-44,-3536,-536.4945652173913,-121.29891304347827,628.535326086957
15:27:21.293,115,2.51,7.47,0.18,-40,-377,-4163,-654.4945652173913,-454.29891304347825,1.5353260869569567
15:27:21.394,120,2.54,7.5,0.12,-20,-425,-4217,-634.4945652173913,-502.29891304347825,-52.46467391304304
15:27:21.466,125,2.59,7.52,0.09,-1,-446,-4237,-615.4945652173913,-523.2989130434783,-72.46467391304304
15:27:21.577,124,2.64,7.58,0.08,34,-420,-4200,-580.4945652173913,-497.29891304347825,-35.46467391304304
15:27:21.682,126,2.71,7.65,0.03,14,-356,-4181,-600.4945652173913,-433.29891304347825,-16.464673913043043
15:27:21.819,123,7.29,8.25,-0.28,-275,-585,-4321,-889.4945652173913,-662.2989130434783,-156.46467391304304
15:27:21.892,126,7.61,8.34,-0.27,-217,-558,-4227,-831.4945652173913,-635.2989130434783,-62.46467391304304
15:27:21.992,124,7.95,8.45,-0.29,-130,-572,-4153,-744.4945652173913,-649.2989130434783,11.535326086956957
15:27:22.099,125,8.26,8.58,-0.31,-51,-638,-4116,-665.4945652173913,-715.2989130434783,48.53532608695696
15:27:22.204,128,8.54,8.71,-0.3,9,-687,-4070,-605.4945652173913,-764.2989130434783,94.53532608695696
15:27:22.341,125,14.66,12.99,-1.6,-328,-587,-4233,-942.4945652173913,-664.2989130434783,-68.46467391304304
15:27:22.414,122,14.86,13.03,-1.6,-319,-556,-4174,-933.4945652173913,-633.2989130434783,-9.464673913043043
15:27:22.515,126,15.1,13.12,-1.66,-190,-545,-4140,-804.4945652173913,-622.2989130434783,24.535326086956957
15:27:22.615,118,15.38,13.31,-1.72,-99,-600,-4137,-713.4945652173913,-677.2989130434783,27.535326086956957
15:27:22.756,118,22.21,15.64,-2.45,75,-410,-3992,-539.4945652173913,-487.29891304347825,172.53532608695696
15:27:22.857,115,22.41,15.66,-2.49,87,-422,-4027,-527.4945652173913,-499.29891304347825,137.53532608695696
15:27:22.932,119,22.65,15.71,-2.52,73,-446,-4038,-541.4945652173913,-523.2989130434783,126.53532608695696
15:27:23.034,117,22.94,15.79,-2.57,34,-439,-4064,-580.4945652173913,-516.2989130434783,100.53532608695696
15:27:23.140,119,23.26,15.84,-2.63,34,-443,-4064,-580.4945652173913,-520.2989130434783,100.53532608695696
15:27:23.281,119,30.32,16.38,-4.41,-278,-586,-4241,-892.4945652173913,-663.2989130434783,-76.46467391304304
15:27:23.349,121,30.55,16.36,-4.44,-282,-580,-4250,-896.4945652173913,-657.2989130434783,-85.46467391304304
15:27:23.456,116,30.79,16.36,-4.48,-224,-570,-4251,-838.4945652173913,-647.2989130434783,-86.46467391304304
15:27:23.565,116,31.05,16.42,-4.5,-201,-555,-4256,-815.4945652173913,-632.2989130434783,-91.46467391304304
15:27:23.635,112,31.34,16.51,-4.53,-209,-547,-4252,-823.4945652173913,-624.2989130434783,-87.46467391304304
15:27:23.775,117,40.4,18.04,-5.16,-249,-527,-4117,-863.4945652173913,-604.2989130434783,47.53532608695696
15:27:23.882,121,40.68,18.09,-5.15,-265,-555,-4121,-879.4945652173913,-632.2989130434783,43.53532608695696
15:27:23.987,121,40.94,18.12,-5.16,-300,-609,-4107,-914.4945652173913,-686.2989130434783,57.53532608695696
15:27:24.058,113,-179.67,-8.66,10.26,207,-521,771,-407.49456521739125,-598.2989130434783,4935.535326086957
15:27:24.228,116,48.04,18.98,-5.08,-291,-634,-4198,-905.4945652173913,-711.2989130434783,-33.46467391304304
15:27:24.301,119,48.31,19.03,-5.06,-294,-675,-4206,-908.4945652173913,-752.2989130434783,-41.46467391304304
15:27:24.409,111,48.6,19.07,-5.02,-297,-674,-4182,-911.4945652173913,-751.2989130434783,-17.464673913043043
15:27:24.483,119,48.89,19.12,-4.99,-281,-655,-4163,-895.4945652173913,-732.2989130434783,1.5353260869569567
15:27:24.590,111,49.17,19.16,-4.98,-282,-653,-4159,-896.4945652173913,-730.2989130434783,5.535326086956957
15:27:24.732,115,57.86,20.16,-4.31,-202,-823,-4128,-816.4945652173913,-900.2989130434783,36.53532608695696
15:27:24.833,115,58.14,20.12,-4.29,-197,-843,-4158,-811.4945652173913,-920.2989130434783,6.535326086956957
15:27:24.908,117,58.43,20.09,-4.26,-161,-806,-4166,-775.4945652173913,-883.2989130434783,-1.4646739130430433
15:27:25.015,118,58.73,20.1,-4.23,-112,-763,-4187,-726.4945652173913,-840.2989130434783,-22.464673913043043
15:27:25.119,120,59.04,20.15,-4.2,-90,-751,-4211,-704.4945652173913,-828.2989130434783,-46.46467391304304
15:27:25.261,119,68.85,21.34,-2.66,-103,-704,-4064,-717.4945652173913,-781.2989130434783,100.53532608695696
15:27:25.333,115,69.13,21.36,-2.63,-106,-730,-4037,-720.4945652173913,-807.2989130434783,127.53532608695696
15:27:25.436,115,69.41,21.37,-2.62,-93,-739,-4027,-707.4945652173913,-816.2989130434783,137.53532608695696
15:27:25.541,118,69.67,21.37,-2.62,-64,-737,-4065,-678.4945652173913,-814.2989130434783,99.53532608695696
15:27:25.610,120,69.93,21.37,-2.61,-27,-741,-4111,-641.4945652173913,-818.2989130434783,53.53532608695696
15:27:25.753,107,78.07,21.68,-1.91,40,-721,-4239,-574.4945652173913,-798.2989130434783,-74.46467391304304
15:27:25.858,115,78.33,21.71,-1.89,32,-708,-4237,-582.4945652173913,-785.2989130434783,-72.46467391304304
15:27:25.965,113,78.61,21.73,-1.87,58,-706,-4244,-556.4945652173913,-783.2989130434783,-79.46467391304304
