timestamp,d,y,p,r,a_x,a_y,a_z,a_x_calibration,a_y_calibration,a_z_calibration
15:18:54.576,73,-146.55,8.61,2.14,-164,0,-2354,549.8951310861423,-211.02247191011236,1748.1123595505615
15:18:54.680,74,-146.5,8.63,2.1,-396,-25,-3025,317.8951310861423,-236.02247191011236,1077.1123595505615
15:18:54.750,73,-146.41,8.73,2.08,-583,-107,-3453,130.89513108614233,-318.02247191011236,649.1123595505615
15:18:54.858,70,-146.26,8.94,2.09,-690,-248,-3642,23.895131086142328,-459.02247191011236,460.11235955056145
15:18:54.998,71,-144.11,13.0,-0.4,-765,-194,-4077,-51.10486891385767,-405.02247191011236,25.11235955056145
15:18:55.105,71,-143.94,13.28,-0.5,-828,-209,-4050,-114.10486891385767,-420.02247191011236,52.11235955056145
15:18:55.207,67,-143.82,13.56,-0.6,-768,-221,-4021,-54.10486891385767,-432.02247191011236,81.11235955056145
15:18:55.276,70,-143.71,13.77,-0.71,-683,-224,-3976,30.895131086142328,-435.02247191011236,126.11235955056145
15:18:55.383,70,-143.61,13.95,-0.82,-697,-258,-3939,16.895131086142328,-469.02247191011236,163.11235955056145
15:18:55.527,70,-139.11,16.74,-2.55,-291,352,-4081,422.8951310861423,140.97752808988764,21.11235955056145
15:18:55.633,69,-138.76,16.84,-2.55,-293,312,-3990,420.8951310861423,100.97752808988764,112.11235955056145
15:18:55.703,74,-138.4,16.95,-2.57,-299,241,-3911,414.8951310861423,29.97752808988764,191.11235955056145
15:18:55.810,72,-138.08,17.05,-2.63,-315,214,-3870,398.8951310861423,2.9775280898876417,232.11235955056145
15:18:55.883,71,-137.78,17.12,-2.73,-346,229,-3922,367.8951310861423,17.97752808988764,180.11235955056145
15:18:56.093,67,-126.97,17.85,-2.78,-281,300,-3837,432.8951310861423,88.97752808988764,265.11235955056145
15:18:56.199,72,-126.64,17.84,-2.82,-365,245,-3878,348.8951310861423,33.97752808988764,224.11235955056145
15:18:56.266,66,-126.31,17.85,-2.84,-461,223,-3949,252.89513108614233,11.977528089887642,153.11235955056145
15:18:56.376,66,-125.99,17.87,-2.84,-507,227,-4040,206.89513108614233,15.977528089887642,62.11235955056145
15:18:56.478,64,-125.69,17.88,-2.79,-552,250,-4079,161.89513108614233,38.97752808988764,23.11235955056145
15:18:56.625,68,-122.38,16.95,-2.73,-3,349,-4001,710.8951310861423,137.97752808988764,101.11235955056145
